"id","postcode","place_name","state_name","state_code","latitude","longitude"
8195,"3896",SWIFTS CREEK,SWIFTS CREEK,VIC,-372.501007,147.712006
8196,"3896",TONGIO,SWIFTS CREEK,VIC,-37.2080002,147.718002
8197,"3898",ANGLERS REST,OMEO,VIC,-37.019001,147.470001
8198,"3898",BINGO,OMEO,VIC,-37.007,147.565002
8199,"3898",BINGO MUNJIE,OMEO,VIC,-37.007,147.565002
8200,"3898",BUNDARA,OMEO,VIC,-37.019001,147.371002
8201,"3898",CASSILIS,OMEO,VIC,-37.2210007,147.600006
8202,"3898",COBUNGRA,OMEO,VIC,-37.0950012,147.412994
8203,"3898",DINNER PLAIN,OMEO,VIC,-37.0330009,147.274002
8204,"3898",GLEN VALLEY,OMEO,VIC,-36.8969994,147.462997
8205,"3898",GLEN WILLS,OMEO,VIC,-36.8370018,147.501007
8206,"3898",HINNOMUNJIE,OMEO,VIC,-37.0110016,147.656006
8207,"3898",OMEO,OMEO,VIC,-37.0979996,147.593994
8208,"3898",SHANNONVALE,OMEO,VIC,-36.9300003,147.423004
8209,"3900",BENAMBRA,BENAMBRA,VIC,-36.9490013,147.703003
8210,"3900",COBBERAS,BENAMBRA,VIC,-3.68300009,148.005005
8211,"3900",UPLANDS,BENAMBRA,VIC,-37.8709984,147.992004
8212,"3902",BUMBERRAH,JOHNSONVILLE,VIC,-37.7919998,147.830002
8213,"3902",JOHNSONVILLE,JOHNSONVILLE,VIC,-37.8199997,147.830002
8214,"3903",SWAN REACH,SWAN REACH,VIC,-37.8100014,14.7840004
8215,"3904",METUNG,METUNG,VIC,-3.78699994,147.847
8216,"3909",KALIMNA,LAKES ENTRANCE,VIC,-37.8569984,147.921997
8217,"3909",KALIMNA WEST,LAKES ENTRANCE,VIC,-37.8650017,147.951004
8218,"3909",LAKE BUNGA,LAKES ENTRANCE,VIC,-37.8600006,148.035004
8219,"3909",LAKE TYERS BEACH,LAKES ENTRANCE,VIC,-37.8590012,148.085999
8220,"3909",LAKES ENTRANCE,LAKES ENTRANCE,VIC,-37.8810005,147.981995
8221,"3909",NUNGURNER,LAKES ENTRANCE,VIC,-37.8800011,147.884995
8222,"3909",NYERIMILANG,LAKES ENTRANCE,VIC,-37.8699989,147.917999
8223,"3909",TOORLOO ARM,LAKES ENTRANCE,VIC,-37.8069992,148.039001
8224,"3910",LANGWARRIN,CRANBOURNE DC,VIC,-38.1529999,145.184998
